Model ID,X,Z,Y,scale_x/y/z,SPARSE_ORIENT,STACK_ORIENT,DENSE_ORIENT,SPARSE_SCALE,STACK_SCALE,DENSE_SCALE
068_BOXDRINK_BASE0,0.11,0.154,0.115,1,"(0,0,0)","(0,0,0)","(0,0,0)",1,1,1
068_BOXDRINK_BASE1,0.1,0.254,0.1,1,"(0,0,0)","(0,0,0)","(0,0,0)",1,1,1
068_BOXDRINK_BASE2,0.1,0.306,0.1,1,"(0,0,0)","(0,0,0)","(0,0,0)",1,1,1
068_BOXDRINK_BASE3,0.079,0.254,0.062,1,"(0,0,0)","(0,0,0)","(0,0,0)",1,1,1
071_CAN_BASE0,0.1,0.175,0.1,0.1,"(0,0,0)","(0,0,0)","(0,0,0)",1,1,1
071_CAN_BASE1,0.09,0.193,0.09,0.1,"(0,0,0)","(0,0,0)","(0,0,0)",1,1,1
071_CAN_BASE2,0.1,0.192,0.1,0.1,"(0,0,0)","(0,0,0)","(0,0,0)",1,1,1
071_CAN_BASE3,0.11,0.193,0.11,0.1,"(0,0,0)","(0,0,0)","(0,0,0)",1,1,1
071_CAN_BASE5,0.1,0.192,0.1,0.1,"(0,0,0)","(0,0,0)","(0,0,0)",1,1,1
071_CAN_BASE6,0.09,0.193,0.09,0.1,"(0,0,0)","(0,0,0)","(0,0,0)",1,1,1
073_RUBIKSCUBE_BASE0,0.097,0.101,0.115,0.06,"(0,0,0)","(0,0,0)","(0,0,0)",1,0.8,1
073_RUBIKSCUBE_BASE1,0.116,0.116,0.116,0.06,"(0,0,0)","(0,0,0)","(0,0,0)",1,0.8,1
073_RUBIKSCUBE_BASE2,0.116,0.116,0.116,0.06,"(0,0,0)","(0,0,0)","(0,0,0)",1,0.8,1
077_PHONE_BASE0,0.096,0.02,0.193,0.1,"(0,0,0)","(0,0,0)","(0,0,0)",1,0.6,1
077_PHONE_BASE1,0.193,0.018,0.082,0.1,"(0,0,0)","(0,0,90)","(0,0,0)",1,0.6,1
077_PHONE_BASE2,0.193,0.02,0.095,0.1,"(0,0,0)","(0,0,90)","(0,0,0)",1,0.6,1
077_PHONE_BASE3,0.193,0.024,0.098,0.1,"(0,0,0)","(0,0,90)","(0,0,0)",1,0.6,1
077_PHONE_BASE4,0.193,0.023,0.099,0.1,"(0,0,0)","(0,0,90)","(0,0,0)",1,0.6,1
079_REMOTECONTROL_BASE0,0.194,0.02,0.048,0.1,"(0,0,0)","(0,0,90)","(0,0,0)",1,0.8,1
079_REMOTECONTROL_BASE1,0.193,0.022,0.057,0.1,"(0,0,0)","(0,0,90)","(0,0,0)",1,0.8,1
079_REMOTECONTROL_BASE2,0.065,0.039,0.194,0.1,"(0,0,0)","(0,0,0)","(0,0,0)",1,0.8,1
079_REMOTECONTROL_BASE3,0.07,0.024,0.193,0.1,"(0,0,0)","(0,0,0)","(0,0,0)",1,0.8,1
079_REMOTECONTROL_BASE4,0.068,0.026,0.193,0.1,"(0,0,0)","(0,0,0)","(0,0,0)",1,0.8,1
079_REMOTECONTROL_BASE5,0.062,0.031,0.193,0.1,"(0,0,0)","(0,0,0)","(0,0,0)",1,0.8,1
079_REMOTECONTROL_BASE6,0.063,0.039,0.193,0.1,"(0,0,0)","(0,0,0)","(0,0,0)",1,1,1
081_PLAYINGCARDS_BASE0,0.072,0.024,0.114,0.06,"(0,0,0)","(0,0,0)","(0,0,0)",1,1,1
081_PLAYINGCARDS_BASE1,0.115,0.024,0.078,0.06,"(0,0,0)","(0,0,90)","(0,0,0)",1,1,1
081_PLAYINGCARDS_BASE2,0.114,0.024,0.076,0.06,"(0,0,0)","(0,0,90)","(0,0,0)",1,1,1
091_KETTLE_BASE0,0.13,0.18,0.18,0.1,"(0,0,0)","(0,0,0)","(0,0,0)",1,1,1
091_KETTLE_BASE1,0.12,0.18,0.18,0.1,"(0,0,0)","(0,0,0)","(0,0,0)",1,1,1
091_KETTLE_BASE2,0.14,0.18,0.19,0.1,"(0,0,0)","(0,0,0)","(0,0,0)",1,1,1
091_KETTLE_BASE3,0.15,0.18,0.19,0.1,"(0,0,0)","(0,0,0)","(0,0,0)",1,1,1
091_KETTLE_BASE4,0.173,0.196,0.175,0.1,"(0,0,0)","(0,0,0)","(0,0,0)",1,1,1
091_KETTLE_BASE5,0.14,0.17,0.2,0.1,"(0,0,0)","(0,0,0)","(0,0,0)",1,1,1
092_NOTEBOOK_BASE0,0.191,0.02,0.125,0.1,"(0,0,0)","(0,0,90)","(0,0,0)",1,0.7,1
092_NOTEBOOK_BASE1,0.192,0.022,0.129,0.1,"(0,0,0)","(0,0,90)","(0,0,0)",1,0.7,1
092_NOTEBOOK_BASE2,0.15,0.02,0.129,0.1,"(0,0,0)","(0,0,90)","(0,0,0)",1,0.7,1
101_MILKTEA_BASE0,0.12,0.193,0.12,0.1,"(0,0,0)","(0,0,0)","(0,0,0)",1,1,1
101_MILKTEA_BASE1,0.08,0.206,0.08,0.1,"(0,0,0)","(0,0,0)","(0,0,0)",1,1,1
101_MILKTEA_BASE2,0.11,0.193,0.11,0.1,"(0,0,0)","(0,0,0)","(0,0,0)",1,1,1
101_MILKTEA_BASE4,0.1,0.212,0.1,0.1,"(0,0,0)","(0,0,0)","(0,0,0)",1,1,1
101_MILKTEA_BASE5,0.119,0.197,0.121,0.1,"(0,0,0)","(0,0,0)","(0,0,0)",1,1,1
101_MILKTEA_BASE6,0.109,0.191,0.109,0.1,"(0,0,0)","(0,0,0)","(0,0,0)",1,1,1
105_SAUCECAN_BASE0,0.09,0.15,0.09,0.08,"(0,0,0)","(0,0,0)","(0,0,0)",1,1,1
105_SAUCECAN_BASE2,0.1,0.15,0.1,0.08,"(0,0,0)","(0,0,0)","(0,0,0)",1,1,1
105_SAUCECAN_BASE4,0.1,0.15,0.1,0.08,"(0,0,0)","(0,0,0)","(0,0,0)",1,1,1
105_SAUCECAN_BASE5,0.08,0.15,0.08,0.08,"(0,0,0)","(0,0,0)","(0,0,0)",1,1,1
105_SAUCECAN_BASE6,0.08,0.15,0.08,0.08,"(0,0,0)","(0,0,0)","(0,0,0)",1,1,1
107_SOAP_BASE0,0.13,0.02,0.062,0.07,"(0,0,0)","(0,0,90)","(0,0,0)",1,1,1
107_SOAP_BASE1,0.13,0.02,0.062,0.07,"(0,0,0)","(0,0,90)","(0,0,0)",1,1,1
107_SOAP_BASE2,0.13,0.078,0.092,0.07,"(0,0,0)","(0,0,90)","(0,0,0)",1,1,1
107_SOAP_BASE3,0.13,0.073,0.072,0.07,"(0,0,0)","(0,0,90)","(0,0,0)",1,1,1
112_TEABOX_BASE0,0.151,0.11,0.101,0.08,"(0,0,0)","(0,0,90)","(0,0,0)",1,0.6,1
112_TEABOX_BASE1,0.151,0.13,0.141,0.08,"(0,0,0)","(0,0,0)","(0,0,0)",1,0.6,1
112_TEABOX_BASE2,0.081,0.15,0.061,0.08,"(0,0,0)","(90,0,0)","(0,0,0)",1,0.7,1
112_TEABOX_BASE3,0.151,0.13,0.141,0.08,"(0,0,0)","(0,0,0)","(0,0,0)",1,0.5,1
112_TEABOX_BASE4,0.141,0.11,0.141,0.08,"(0,0,0)","(0,0,0)","(0,0,0)",1,0.6,1
112_TEABOX_BASE5,0.141,0.14,0.141,0.08,"(0,0,0)","(0,0,0)","(0,0,0)",1,0.6,1
113_COFFEEBOX_BASE0,0.101,0.13,0.091,0.07,"(0,0,0)","(90,0,0)","(0,0,0)",1,0.8,1
113_COFFEEBOX_BASE1,0.131,0.11,0.121,0.07,"(0,0,0)","(0,0,0)","(0,0,0)",1,0.7,1
113_COFFEEBOX_BASE2,0.131,0.11,0.111,0.07,"(0,0,0)","(0,0,0)","(0,0,0)",1,0.7,1
113_COFFEEBOX_BASE3,0.101,0.13,0.091,0.07,"(0,0,0)","(0,0,0)","(0,0,0)",1,0.7,1
113_COFFEEBOX_BASE4,0.131,0.12,0.101,0.07,"(0,0,0)","(0,0,0)","(0,0,0)",1,0.6,1
113_COFFEEBOX_BASE5,0.151,0.11,0.031,0.08,"(0,0,0)","(90,0,90)","(0,0,0)",1,0.6,1
113_COFFEEBOX_BASE6,0.091,0.15,0.101,0.08,"(0,0,0)","(0,0,0)","(0,0,0)",1,1,1
114_BOTTLE_BASE1,0.058,0.2,0.058,0.11,"(0,0,0)","(0,0,0)","(0,0,0)",1,1,1
114_BOTTLE_BASE2,0.051,0.21,0.051,0.11,"(0,0,0)","(0,0,0)","(0,0,0)",1,1,1
114_BOTTLE_BASE3,0.052,0.051,0.188,0.11,"(0,0,0)","(0,0,0)","(0,0,0)",1,1,1
114_BOTTLE_BASE4,0.051,0.2,0.051,0.11,"(0,0,0)","(0,0,0)","(0,0,0)",1,1,1
115_PERFUME_BASE0,0.135,0.193,0.057,0.1,"(0,0,0)","(0,0,0)","(0,0,0)",1,1,1
115_PERFUME_BASE1,0.095,0.193,0.075,0.1,"(0,0,0)","(0,0,0)","(0,0,0)",1,1,1
115_PERFUME_BASE2,0.103,0.193,0.062,0.1,"(0,0,0)","(0,0,0)","(0,0,0)",1,1,1
115_PERFUME_BASE3,0.122,0.193,0.111,0.1,"(0,0,0)","(0,0,0)","(0,0,0)",1,1,1
116_KEYBOARD_BASE0,0.194,0.008,0.068,0.1,"(0,0,0)","(0,0,0)","(0,0,0)",1,1,1
116_KEYBOARD_BASE1,0.194,0.028,0.068,0.1,"(0,0,0)","(0,0,0)","(0,0,0)",1,1,1
116_KEYBOARD_BASE2,0.194,0.028,0.068,0.1,"(0,0,0)","(0,0,0)","(0,0,0)",1,1,1
116_KEYBOARD_BASE3,0.194,0.028,0.09,0.1,"(0,0,0)","(0,0,0)","(0,0,0)",1,1,1
118_TOOTHPASTE_BASE0,0.063,0.193,0.031,0.1,"(0,0,0)","(0,0,0)","(0,0,0)",1,1,1
055_SMALLSPEAKER_BASE1,0.07,0.08,0.08,0.8,"(0,0,0)","(0,0,0)","(0,0,0)",1,1,1
055_SMALLSPEAKER_BASE2,0.112,0.08,0.112,0.8,"(0,0,0)","(0,0,0)","(0,0,0)",1,1,1
055_SMALLSPEAKER_BASE3,0.128,0.08,0.064,0.8,"(0,0,0)","(0,0,0)","(0,0,0)",1,1,1
057_TOYCAR_BASE0,0.11,0.101,0.167,0.08,"(0,0,0)","(0,0,0)","(0,0,0)",1,1,1
057_TOYCAR_BASE1,0.089,0.054,0.171,0.08,"(0,0,0)","(0,0,0)","(0,0,0)",1,1,1
057_TOYCAR_BASE2,0.095,0.093,0.171,0.08,"(0,0,0)","(0,0,0)","(0,0,0)",1,1,1
057_TOYCAR_BASE3,0.075,0.051,0.154,0.08,"(0,0,0)","(0,0,0)","(0,0,0)",1,1,1
