Model ID,X,Z,Y,scale_x/y/z,SPARSE_ORIENT,STACK_ORIENT,DENSE_ORIENT,SPARSE_SCALE,STACK_SCALE,DENSE_SCALE
068_BOXDRINK_BASE0,0.11,0.154,0.115,1,"(0,0,0)","(0,0,0)","[(180,0, 90),(180,0,0)]",1,1,0.8
068_BOXDRINK_BASE1,0.1,0.254,0.1,1,"(0,0,0)","(0,0,0)","[(180,0, 90),(180,0,0)]",1,1,0.8
068_BOXDRINK_BASE2,0.1,0.306,0.1,1,"(0,0,0)","(0,0,0)","[(180,0, 90),(180,0,0)]",1,1,0.8
068_BOXDRINK_BASE3,0.079,0.254,0.062,1,"(0,0,0)","(0,0,0)","[(180,0, 90),(180,0,0),(180,90,0),(90,0,0)]",1,1,0.8
071_CAN_BASE0,0.1,0.175,0.1,0.1,"(0,0,0)","(0,0,0)","[(180,0, 90),(180,0,0),(180,90,0),(90,0,0)]",1,1,0.7
071_CAN_BASE1,0.09,0.193,0.09,0.1,"(0,0,0)","(0,0,0)","[(180,0, 90),(180,0,0),(180,90,0),(90,0,0)]",1,1,0.7
071_CAN_BASE2,0.1,0.192,0.1,0.1,"(0,0,0)","(0,0,0)","[(180,0, 90),(180,0,0),(180,90,0),(90,0,0)]",1,1,0.7
071_CAN_BASE3,0.11,0.193,0.11,0.1,"(0,0,0)","(0,0,0)","[(180,0, 90),(180,0,0),(180,90,0),(90,0,0)]",1,1,0.7
071_CAN_BASE5,0.1,0.192,0.1,0.1,"(0,0,0)","(0,0,0)","[(180,0, 90),(180,0,0),(180,90,0),(90,0,0)]",1,1,0.7
071_CAN_BASE6,0.09,0.193,0.09,0.1,"(0,0,0)","(0,0,0)","[(180,0, 90),(180,0,0),(180,90,0),(90,0,0)]",1,1,0.7
073_RUBIKSCUBE_BASE0,0.097,0.101,0.115,0.06,"(0,0,0)","(0,0,0)","[(180, 0, 0),(180,0,90)]",1,0.8,0.8
073_RUBIKSCUBE_BASE1,0.116,0.116,0.116,0.06,"(0,0,0)","(0,0,0)","[(180, 0, 0),(180,0,90),(0, 0, 0),(0,0,90)]",1,0.8,0.8
073_RUBIKSCUBE_BASE2,0.116,0.116,0.116,0.06,"(0,0,0)","(0,0,0)","[(180, 0, 0),(180,0,90),(0, 0, 0),(0,0,90)]",1,0.8,0.8
